,VI,mean_T,total_queries,pair_error_rate,K
20,0.5937007001182645,19.534155328798185,275666,0.002054988662131496,30
21,0.5850950033243956,19.194996837889114,273164,0.001967535661583919,30
22,0.414319589441289,19.81706970128023,278628,0.0014224751066855834,30
23,0.498710685551073,19.378963330576234,281150,0.0015164047422111526,30
24,0.619687048076267,19.62846294473351,279156,0.002250035156799335,30
25,0.6094284589478207,19.301586202119555,278657,0.002424326383597686,30
26,0.47102685691657376,19.164449137627596,272231,0.0015487504399859242,30
27,0.4668804928496658,19.532776530039303,278303,0.0016844469399214246,30
28,0.4486411103855526,19.49023327712198,277385,0.0016160764474424383,30
29,0.5020079837390365,19.575052557813596,279336,0.0019621583742116533,30
