,T,VI,VI_r,p_hat,q_hat,edge_error_rate,edge_error_rate_r,K_predicted,T_actual,mean_T
0,60000,3.0807634717445116,3.2319353396112427,0.09741666666666668,0.0035370370370370373,0.10944184937367617,0.10902102708692786,10,66900,213.61867704280155
1,60000,3.1742253247089387,3.2978081745357737,0.10191666666666667,0.0019444444444444446,0.10066069099019484,0.10310146025333501,10,68400,219.45525291828793
2,60000,3.069301631850235,3.069301631850235,0.09941666666666667,0.003,0.10007153978874721,0.10007153978874721,10,66900,213.61867704280155
3,60000,3.250684908687166,3.301465226059467,0.10216666666666667,0.0032222222222222222,0.10273674760481982,0.10332589880626744,10,68100,218.28793774319067
4,60000,3.3038022873903454,3.347440791258545,0.10658333333333335,0.0025740740740740745,0.11423922344260685,0.11550169030285178,10,70650,228.2101167315175
5,60000,3.565996168479224,3.6772907829153567,0.10241666666666668,0.005574074074074075,0.10520557168707655,0.10593499698410694,10,72600,235.7976653696498
6,60000,3.4018593313536964,3.4181397186714313,0.10208333333333335,0.0029444444444444444,0.10284896688128603,0.10287702170040258,10,70800,228.79377431906616
7,60000,2.9683344404371557,2.9683344404371557,0.10483333333333333,0.0006203703703703704,0.1018389933930901,0.1018389933930901,10,64200,203.11284046692606
8,60000,3.591358755104944,3.684291061499086,0.10208333333333335,0.003916666666666667,0.10660831264290424,0.10756217649286706,10,75600,247.47081712062257
9,60000,2.927389350801779,3.055637466855623,0.1,0.0016203703703703705,0.11395867525144132,0.11292064694412883,10,66150,210.70038910505838
