,VI_yun,edge_error_rate_yun,total_queries,K,K_predicted,T,repeats_per_pair
20,4.1538481926920685,0.2376888888888889,304521,30,12,304521,1
21,3.4442854879693616,0.44618024691358027,291489,30,13,291489,1
22,3.8505822701002086,0.2971358024691358,283173,30,13,283173,1
23,3.9693120973153646,0.2953753086419753,304521,30,13,304521,1
24,4.164462147181889,0.1547753086419753,298905,30,14,298905,1
25,3.286380189949869,0.3612567901234568,296529,30,13,296529,1
26,3.489271063410245,0.36536543209876543,289383,30,13,289383,1
27,4.123837897474702,0.2304567901234568,295179,30,15,295179,1
28,3.8718694122252897,0.3000024691358025,283371,30,13,283371,1
29,4.035836010641633,0.25738765432098765,298257,30,13,298257,1
