,VI_yun,edge_error_rate_yun,K_predicted,T,mean_T
0,2.6911764045228272,0.0393609112205249,53,66900,2.2197889707346206
1,2.864663812914424,0.03809844436027999,50,68400,2.2560110821597017
2,2.8153490587505456,0.03843510218967863,52,66900,2.221558079298665
3,2.788553393791485,0.037845950988231,54,68100,2.2548922221118506
4,2.6492505792837977,0.0415491871116161,56,70650,2.3070894425758417
5,2.736453344748828,0.0374251287014827,54,72600,2.351874048398069
6,2.7789587972444116,0.04062337808076982,50,70800,2.310931226947808
7,2.7756900091568397,0.04076365217635259,51,64200,2.1552302940781525
8,2.8717447562169935,0.03879981483819383,56,75600,2.422145328719723
9,2.7157614595865964,0.03621877147947088,52,66150,2.2002328288707798
