,T,K,VI,VI_r,p_hat,q_hat,edge_error_rate,edge_error_rate_r,K_predicted,T_actual
0,41014,3,2.660109212399929,2.871878131408208,0.0813828711818326,0.0350350451979811,0.295,0.307958024691358,15,44328
1,41014,3,2.906192407330276,3.3139470264671367,0.0894491839656905,0.0367619683058994,0.3157703703703703,0.3373283950617284,14,54963
2,41014,3,2.930887284899349,3.2630837023417394,0.0863182966959978,0.0355211509723828,0.3171432098765432,0.3373382716049383,13,55128
3,41014,3,1.7525272143364166,1.940993869044539,0.0774871708082462,0.0295777432705905,0.2249308641975308,0.2375012345679012,13,43461
4,41014,3,2.836407672295456,3.193994270203678,0.0821223132823432,0.0348788781316698,0.3101111111111111,0.3302691358024691,14,50262
5,41014,3,2.8624469970152777,3.124799663186676,0.0819316052358428,0.0325009799655652,0.3105061728395061,0.3265234567901234,14,50322
6,41014,3,2.6712283317017422,2.979278611777788,0.0821792558638513,0.0350962476227629,0.294279012345679,0.3122049382716049,15,49482
7,41014,3,2.808210450671428,3.0851851454997345,0.0914286868967562,0.0366055478379185,0.304437037037037,0.3190444444444444,15,54831
8,41014,3,2.920571761212017,3.3660914087156617,0.0827126405038221,0.0368366332266844,0.3137728395061728,0.3393111111111111,14,59934
9,41014,3,3.109272354210086,3.393934509938548,0.0913069443043504,0.0343701979514431,0.3302395061728395,0.3457135802469135,13,59538
